Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
284.97,1741.53,168.202,115.0
285.874,1741.53,167.783,115.0
288.633,1701.48,166.507,115.0
286.695,1678.74,167.40400000000002,115.0
287.407,1664.76,167.074,115.0
284.462,1672.5,168.43599999999998,115.0
284.462,1658.53,168.43599999999998,115.0
298.97,1658.53,161.727,115.0
299.36,1654.98,161.546,115.0
308.823,1641.01,157.16899999999998,115.0
318.013,1636.44,152.91899999999998,115.0
318.013,1622.48,152.91899999999998,115.0
339.51800000000003,1622.48,142.97299999999998,115.0
357.89,1646.9,134.476,115.0
479.325,1633.95,115.0,122.535
479.325,1621.0,115.0,122.535
3937.83,1621.0,115.0,300.0
1955.31,1626.93,115.0,300.0
3929.26,1612.99,115.0,300.0
3858.34,1591.88,115.0,300.0
1966.28,1576.93,115.0,300.0
3874.48,1573.58,115.0,300.0
3874.48,1553.7,115.0,300.0
4030.13,1553.7,115.0,300.0
4024.34,1564.18,115.0,300.0
4024.34,1542.27,115.0,300.0
4206.32,1542.27,115.0,300.0
1980.03,1562.47,115.0,300.0
1978.37,1542.51,115.0,300.0
1933.13,1501.49,115.0,300.0
1930.36,1480.4,115.0,300.0
1918.69,1518.4,115.0,300.0
1918.69,1497.31,115.0,300.0
1917.44,1497.31,115.0,300.0
1914.9,1512.01,115.0,300.0
1911.87,1490.73,115.0,300.0
890.181,1461.12,115.0,228.102
889.437,1440.87,115.0,227.91099999999997
750.23,1442.16,115.0,192.142
750.23,1425.78,115.0,192.142
648.357,1428.11,115.0,165.967
648.357,1412.82,115.0,165.967
647.391,1412.82,115.0,165.71900000000002
595.629,1399.1,115.0,152.41899999999998
595.528,1465.83,115.0,152.393
616.231,1485.59,115.0,157.71200000000002
616.322,1472.29,115.0,157.735
645.335,1458.11,115.0,165.19
644.623,1444.69,115.0,165.007
644.211,1495.2,115.0,164.90099999999998
699.043,1473.21,115.0,178.99
698.995,1513.75,115.0,178.97799999999998
698.9,2023.18,115.0,178.954
719.081,1999.02,115.0,184.139
718.985,2010.1,115.0,184.114
729.061,2006.48,115.0,186.703
729.061,1999.41,115.0,186.703
728.4730000000001,1999.41,115.0,186.55200000000002
730.645,1995.73,115.0,187.11
730.709,1980.8,115.0,187.127
733.202,1978.61,115.0,187.767
733.202,1973.39,115.0,187.767
732.2080000000001,1973.39,115.0,187.512
752.288,1979.67,115.0,192.671
751.9889999999999,1964.45,115.0,192.595
751.932,1959.62,115.0,192.58
751.936,1953.34,115.0,192.581
744.2719999999999,1945.49,115.0,190.612
743.255,1941.79,115.0,190.35
736.3389999999999,1937.11,115.0,188.57299999999998
731.7410000000001,1929.26,115.0,187.392
732.2710000000001,1923.76,115.0,187.528
739.745,1919.73,115.0,189.44799999999998
738.836,1923.56,115.0,189.215
746.6089999999999,1920.95,115.0,191.21200000000002
746.6089999999999,1915.96,115.0,191.21200000000002
746.283,1915.96,115.0,191.128
747.0880000000001,1909.55,115.0,191.335
745.933,1915.82,115.0,191.03799999999998
752.477,1906.58,115.0,192.72
752.477,1904.13,115.0,192.72
752.52,1904.13,115.0,192.731
741.4010000000001,1906.53,115.0,189.87400000000002
740.434,1914.56,115.0,189.625
733.9989999999999,1894.67,115.0,187.972
741.4789999999999,1896.34,115.0,189.894
749.309,1898.85,115.0,191.90599999999998
749.309,1895.53,115.0,191.90599999999998
749.5980000000001,1895.53,115.0,191.98
755.36,1896.56,115.0,193.46099999999998
749.574,1895.75,115.0,191.97400000000002
742.387,1910.42,115.0,190.127
742.387,1904.6,115.0,190.127
740.846,1904.6,115.0,189.731
733.8589999999999,1911.67,115.0,187.93599999999998
733.3639999999999,1916.26,115.0,187.80900000000003
749.7669999999999,1922.55,115.0,192.023
749.578,1920.07,115.0,191.975
744.0939999999999,1932.43,115.0,190.56599999999997
747.4910000000001,1933.53,115.0,191.43900000000002
743.456,1954.58,115.0,190.40200000000002
742.952,1959.68,115.0,190.27200000000002
743.89,1943.55,115.0,190.513
744.184,1968.64,115.0,190.58900000000003
750.515,1956.0,115.0,192.21599999999998
750.515,1981.52,115.0,192.21599999999998
749.052,1981.52,115.0,191.84
747.279,1967.09,115.0,191.38400000000001
747.279,1999.33,115.0,191.38400000000001
747.165,1999.33,115.0,191.355
747.307,1987.45,115.0,191.391
746.883,2016.46,115.0,191.283
746.454,2045.69,115.0,191.172
745.814,2059.04,115.0,191.00799999999998
737.554,2063.93,115.0,188.885
737.554,2079.18,115.0,188.885
737.324,2079.18,115.0,188.826
737.924,2072.48,115.0,188.98
737.924,2111.72,115.0,188.98
736.823,2111.72,115.0,188.69799999999998
729.188,2106.81,115.0,186.736
729.188,2123.38,115.0,186.736
729.263,2123.38,115.0,186.755
731.1469999999999,2130.23,115.0,187.239
731.1469999999999,2151.61,115.0,187.239
730.154,2151.61,115.0,186.984
734.307,2160.29,115.0,188.051
734.307,2172.96,115.0,188.051
734.508,2172.96,115.0,188.10299999999998
730.28,2177.16,115.0,187.016
738.3689999999999,2208.4,115.0,189.095
738.181,2234.56,115.0,189.047
739.1569999999999,2250.18,115.0,189.297
739.1569999999999,2270.86,115.0,189.297
738.08,2270.86,115.0,189.021
729.553,2242.67,115.0,186.83
729.929,2269.77,115.0,186.926
733.617,2274.36,115.0,187.87400000000002
733.617,2290.53,115.0,187.87400000000002
734.3810000000001,2296.07,115.0,188.07
734.3389999999999,2321.61,115.0,188.05900000000003
733.2639999999999,2323.74,115.0,187.783
733.2639999999999,2387.87,115.0,187.783
732.242,2387.87,115.0,187.52
739.59,2355.93,115.0,189.408
739.1510000000001,2379.86,115.0,189.296
739.2589999999999,2385.84,115.0,189.32299999999998
739.2589999999999,2410.72,115.0,189.32299999999998
738.818,2410.72,115.0,189.21
735.0,2449.63,115.0,188.229
735.0,2482.91,115.0,188.229
733.909,2482.91,115.0,187.949
732.383,2487.78,115.0,187.55700000000002
736.6419999999999,2528.05,115.0,188.65099999999998
736.6419999999999,2560.18,115.0,188.65099999999998
736.3560000000001,2560.18,115.0,188.578
734.86,2563.39,115.0,188.19299999999998
734.86,2597.87,115.0,188.19299999999998
733.8710000000001,2597.87,115.0,187.93900000000002
736.188,2604.14,115.0,188.535
736.188,2647.06,115.0,188.535
735.5210000000001,2672.27,115.0,188.363
735.077,2717.61,115.0,188.24900000000002
737.908,2721.31,115.0,188.976
736.75,2766.93,115.0,188.679
737.087,2782.42,115.0,188.765
735.485,2774.22,115.0,188.354
734.582,2899.73,115.0,188.122
735.637,2921.37,115.0,188.393
729.961,2903.42,115.0,186.93400000000003
729.961,3046.06,115.0,186.93400000000003
728.873,3046.06,115.0,186.655
729.34,2990.87,115.0,186.775
729.34,3133.16,115.0,186.775
729.5239999999999,3133.16,115.0,186.822
730.442,3060.32,115.0,187.058
729.7139999999999,3145.87,115.0,186.87099999999998
722.929,3151.19,115.0,185.128
726.176,3251.06,115.0,185.96200000000002
725.154,3333.7,115.0,185.699
725.154,3420.19,115.0,185.699
724.443,3420.19,115.0,185.517
728.872,3424.28,115.0,186.655
728.872,3527.51,115.0,186.655
723.4060000000001,3560.81,115.0,185.25
723.4060000000001,3671.34,115.0,185.25
725.372,3686.06,115.0,185.755
722.962,3733.33,115.0,185.136
722.091,3718.35,115.0,184.912
722.784,3712.71,115.0,185.09
722.784,3697.73,115.0,185.09
722.829,3688.05,115.0,185.102
720.687,3673.08,115.0,184.55200000000002
720.4889999999999,3670.77,115.0,184.50099999999998
720.4889999999999,1268.75,115.0,184.50099999999998
717.831,1268.75,115.0,183.81799999999998
713.065,1321.75,115.0,182.593
713.065,1199.93,115.0,182.593
709.91,1199.93,115.0,181.782
707.638,1201.96,115.0,181.199
707.638,1166.11,115.476,180.66
708.4789999999999,1171.89,115.0,181.415
705.585,1157.19,116.58,178.905
708.6519999999999,1137.46,118.96700000000001,176.954
705.148,1123.25,120.77,174.12400000000002
704.418,1129.7,119.98700000000001,174.83
701.3439999999999,1099.63,123.796,169.96
708.2669999999999,1101.17,123.39299999999999,171.847
708.2669999999999,1087.09,125.10600000000001,169.90599999999998
704.574,1087.09,125.242,169.02200000000002
699.67,1082.41,126.009,167.213
699.37,1068.81,127.726,165.295
699.37,1054.13,129.566,163.30200000000002
695.722,1054.13,129.753,162.455
692.087,1041.05,131.619,159.858
692.745,1039.93,131.724,159.86
687.829,1025.46,133.892,156.808
686.779,1024.8,134.046,156.483
681.7819999999999,1010.25,136.298,153.439
682.914,1012.47,135.923,153.984
682.914,998.02,137.833,152.08100000000002
679.821,998.02,138.06799999999998,151.399
680.043,993.573,138.644,150.865
680.043,979.0269999999999,140.582,148.961
677.563,979.0269999999999,140.791,148.424
675.362,977.334,141.20600000000002,147.72799999999998
672.049,963.7539999999999,143.343,145.259
670.878,966.922,143.016,145.417
666.304,953.304,145.32,142.69799999999998
668.064,951.515,145.398,142.84
668.064,938.324,147.22,141.151
665.067,938.324,147.52700000000002,140.528
662.194,936.943,148.015,139.756
662.194,923.382,149.921,138.03799999999998
659.1,923.382,150.25799999999998,137.404
652.663,922.3789999999999,151.105,135.96200000000002
647.909,907.8610000000001,153.754,133.196
651.999,911.6289999999999,152.735,134.488
647.306,897.1339999999999,155.398,131.751
649.254,894.559,155.54,131.82
649.254,879.55,157.72799999999998,129.964
644.232,879.55,158.372,128.983
647.96,876.398,158.355,129.32299999999998
644.766,863.2230000000001,160.714,127.085
644.609,871.199,159.55700000000002,128.033
640.962,857.721,162.049,125.685
640.039,856.6060000000001,162.343,125.374
640.039,847.4789999999999,163.708,124.265
636.602,847.4789999999999,164.196,123.616
634.4069999999999,850.145,164.10299999999998,123.523
631.891,842.9739999999999,165.555,122.18799999999999
628.886,842.312,166.09,121.545
626.219,829.063,168.533,119.475
625.71,842.4830000000001,166.52200000000002,120.969
625.71,862.623,163.384,123.355
619.95,857.645,164.953,121.666
617.18,843.44,167.6,119.48
619.321,842.055,167.511,119.72
616.24,1402.12,115.0,157.714
612.094,1415.46,115.0,156.649
610.693,1441.42,115.0,156.289
608.691,1427.61,115.0,155.775
608.822,1432.72,115.0,155.808
605.43,1368.39,115.0,154.937
601.115,1435.5,115.0,153.828
601.115,1370.77,115.0,153.828
599.41,1370.77,115.0,153.39
602.764,1382.1,115.0,154.252
602.764,1332.83,115.0,154.252
599.24,1332.83,115.0,153.346
599.124,1343.48,115.0,153.317
599.124,1280.35,115.0,153.317
599.552,1294.0,115.0,153.42700000000002
596.2959999999999,746.7819999999999,186.842,104.741
596.428,817.55,174.94299999999998,112.677
593.641,803.502,177.75400000000002,110.603
592.8340000000001,741.071,188.451,103.52799999999999
592.8340000000001,1245.89,115.0,151.7
590.145,1245.89,115.0,151.01
590.0830000000001,1031.02,139.19,135.321
587.424,1253.94,115.0,150.31
589.888,1243.92,115.0,150.94299999999998
587.508,1230.67,115.0,150.332
587.508,1218.8,115.0,150.332
584.724,1218.8,115.0,149.61700000000002
579.38,1246.25,115.0,148.244
579.38,1233.03,115.0,148.244
576.559,1233.03,115.0,147.519
579.188,1240.52,115.0,148.194
578.536,1213.78,115.0,148.02700000000002
575.216,1200.59,115.0,147.173
576.136,1189.48,115.0,147.41
576.136,1177.68,115.0,147.41
574.814,1177.68,115.0,147.07
570.58,1172.33,115.0,145.982
570.58,1160.03,116.829,144.895
567.455,1160.03,116.84200000000001,144.099
573.739,1161.61,116.52799999999999,145.873
570.4680000000001,1148.48,118.947,143.608
567.034,1127.07,122.935,140.42600000000002
567.034,1114.81,125.197,139.102
564.697,1114.81,125.255,138.529
567.878,1114.62,125.211,139.289
563.453,1101.83,127.698,136.834
560.975,1090.13,129.96,134.986
561.33,1073.62,133.026,133.313
558.975,1060.59,135.569,131.377
556.888,1064.7,134.89700000000002,131.322
551.362,1067.11,134.695,130.278
552.31,1047.48,138.387,128.45
552.31,1056.46,136.679,129.388
548.63,1056.46,136.864,128.531
551.221,1040.16,139.842,127.436
547.221,1052.42,137.713,127.786
546.625,1034.57,141.181,125.807
543.75,1050.39,138.28799999999998,126.772
540.687,1055.77,137.399,126.61200000000001
540.687,1043.51,139.79399999999998,125.36200000000001
537.982,1043.51,139.946,124.74
535.703,1059.35,136.945,125.81299999999999
538.192,1060.77,136.543,126.539
538.192,1073.44,134.053,127.824
534.174,1063.01,136.29399999999998,125.825
539.371,1065.47,135.565,127.292
533.395,2834.34,115.0,136.428
532.4069999999999,2821.98,115.0,136.174
532.215,2820.88,115.0,136.125
530.736,1021.69,144.705,120.897
528.3009999999999,2805.54,115.0,135.119
527.0740000000001,2792.9,115.0,134.804
529.768,2790.61,115.0,135.496
529.217,2777.96,115.0,135.35399999999998
529.689,2777.82,115.0,135.476
526.414,2764.22,115.0,134.634
526.631,2760.05,115.0,134.69
526.631,2747.4,115.0,134.69
523.813,2747.4,115.0,133.966
521.02,2758.74,115.0,133.248
516.952,2746.1,115.0,132.203
513.66,2739.96,115.0,131.357
510.292,2727.32,115.0,130.49200000000002
517.71,2725.96,115.0,132.398
517.71,2712.36,115.0,132.398
510.22,2712.36,115.0,130.47299999999998
513.326,2716.76,115.0,131.27100000000002
503.85900000000004,2703.82,115.0,128.839
508.13199999999995,934.3589999999999,164.418,107.542
504.50800000000004,922.198,167.345,105.655
499.775,2672.33,115.0,127.789
498.67199999999997,2676.38,115.0,127.506
437.194,2663.74,115.0,115.0
465.32599999999996,2669.32,115.0,118.93799999999999
465.32599999999996,2657.92,115.0,118.93799999999999
318.842,2657.92,152.536,115.0
327.228,2658.88,148.657,115.0
287.205,2636.12,167.168,115.0
265.108,2625.69,177.387,115.0
239.092,2610.84,189.42,115.0
254.144,2614.78,182.458,115.0
254.144,2599.27,182.458,115.0
235.953,2599.27,190.872,115.0
242.143,2595.48,188.00900000000001,115.0
219.679,2580.92,198.399,115.0
232.581,2575.78,192.43099999999998,115.0
232.581,2560.26,192.43099999999998,115.0
208.31599999999997,2560.26,203.65400000000002,115.0
209.465,2554.94,203.122,115.0
203.229,2539.68,206.007,115.0
207.025,2548.07,204.25099999999998,115.0
207.025,2531.87,204.25099999999998,115.0
203.25400000000002,2531.87,205.995,115.0
202.037,2528.18,206.558,115.0
202.037,2512.0,206.558,115.0
199.732,2512.0,207.62400000000002,115.0
196.047,2505.47,209.328,115.0
196.047,2490.51,209.328,115.0
189.72799999999998,2492.77,212.25099999999998,115.0
204.18099999999998,2475.92,205.56599999999997,115.0
201.452,2481.76,206.828,115.0
207.237,2465.84,204.153,115.0
216.014,2462.07,200.09400000000002,115.0
216.014,2446.44,200.09400000000002,115.0
222.96200000000002,2446.44,196.88,115.0
225.479,2444.35,195.71599999999998,115.0
237.78599999999997,2592.74,190.024,115.0
281.286,2995.53,169.905,115.0
281.286,3235.9,169.905,115.0
449.288,3235.9,115.0,115.0
445.339,3025.5,115.0,115.0
449.31199999999995,3180.84,115.0,115.0
449.912,3286.34,115.0,115.0
